Id,Name
0,Mercedes
1,Ferrari
2,Red Bull Racing
3,Williams
4,Racing Point
5,Renault
6,Toro Rosso
7,Haas
8,McLaren
9,Alfa Romeo
10,McLaren 1988
11,McLaren 1991
12,Williams 1992
13,Ferrari 1995
14,Williams 1996
15,McLaren 1998
16,Ferrari 2002
17,Ferrari 2004
18,Renault 2006
19,Ferrari 2007
21,Red Bull 2010
22,Ferrari 1976
23,ART Grand Prix
24,Campos Vexatec Racing
25,Carlin
26,Charouz Racing System
27,DAMS
28,Russian Time
29,MP Motorsport
30,Pertamina
31,McLaren 1990
32,Trident
33,BWT Arden
34,McLaren 1976
35,Lotus 1972
36,Ferrari 1979
37,McLaren 1982
38,Williams 2003
39,Brawn 2009
40,Lotus 1978
42,Art GP ’19
43,Campos ’19
44,Carlin ’19
 45, Sauber Junior Charouz ’19
 46, Dams ’19
 47, Uni-Virtuosi ‘19
 48, MP Motorsport ‘19
 49, Prema ’19
 50, Trident ’19
 51, Arden ’19
 63, Ferrari 1990
 64, McLaren 2010
 65, Ferrari 2010
